comic_no,Book Title,Issue,Vol,Month,Year,genre,link,our_idx,img_folderpath,_old_comic_no,
61,Dollman - Black heart of Nemo,,,Jan,1949,superhero|humor,https://digitalcomicmuseum.com/index.php?dlid=13814,61,,3512,
62,Dollman - Past life of Paul Parr,,,Feb,1951,superhero|humor|history,https://digitalcomicmuseum.com/index.php?dlid=16597,62,,3513,
63,Dollman - Dollman's Dilemma,,,Jun,1951,superhero|humor,https://digitalcomicmuseum.com/index.php?dlid=32078,63,,3514,
64,Dollman - The eerie tale of mind monster,,,Oct,1952,superhero|humor,https://digitalcomicmuseum.com/index.php?dlid=17476,64,,3515,
65,Dollman - Who can stop the radioactive man?,,,Feb,1953,superhero|humor,https://digitalcomicmuseum.com/index.php?dlid=17668,65,,3516,
66,Dollman - The Headless Horseman,,,Aug,1952,superhero|humor,https://digitalcomicmuseum.com/index.php?dlid=12032,66,,3517,
67,Dotty - magical mania,,,Nov,1948,teen|romance|female,https://digitalcomicmuseum.com/index.php?dlid=2478,67,,3518,
68,Dotty - and her Boyfriends,,,Jan,1949,teen|romance|female,https://digitalcomicmuseum.com/index.php?dlid=3718,68,,3519,
69,Durango Kid - Show em no mercy,,,Oct,1951,western|adventure,https://digitalcomicmuseum.com/index.php?dlid=16121,69,,3520,
70,Daring Adventures - Dynamic man meets the little people,,,Jan,1964,superhero|detective,https://comicbookplus.com/?dlid=62302,70,,3521,
71,Dynamic Man- The Echo,,,Jul,1946,superhero|war|humor,https://digitalcomicmuseum.com/index.php?dlid=17553,71,,3522,
72,Dynamic Man - man on the run,,,Jul,1947,superhero|war|humor|scifi,https://digitalcomicmuseum.com/index.php?dlid=18501,72,,3523,
73,The Eagle - Monster of tropics,,,1942,Jan,superhero|war,https://digitalcomicmuseum.com/index.php?dlid=18501,73,,3524,
74,Exciting Comics - Black terror - Malay Menace,,,Dec,1941,superhero|war|adventure,https://digitalcomicmuseum.com/index.php?dlid=12524,74,,3525,
75,Exciting Comics - Black terror - The Hypnotic gas,,,Mar,1942,superhero|war|adventure,https://digitalcomicmuseum.com/index.php?dlid=20540,75,,3526,
76,Exciting Comics - Black terror - The Comic Story,,,Nov,1946,superhero|adventure|humor,https://digitalcomicmuseum.com/index.php?dlid=19416,76,,3527,
77,Exciting Comics - Black Terror - Miss masque,,,Jan,1947,superhero|humor|romance,https://digitalcomicmuseum.com/index.php?dlid=21652,77,,3528,
78,Exciting Comics - Black Terror - Judy of the Jungle,,,May,1947,superhero|adventure|jungle,https://digitalcomicmuseum.com/index.php?dlid=18028,78,,3529,
79,Famous Funnies -100,,,Nov,1942,humor|adventure|scifi|superhero,https://digitalcomicmuseum.com/index.php?dlid=17115,79,,3530,
80,Famous Funnies - 24,,,Jul,1936,humor|adventure|sports,https://digitalcomicmuseum.com/index.php?dlid=21647,80,,3531,
81,Famous Funnies - 26,,,Sep,1936,humor|children,https://digitalcomicmuseum.com/index.php?dlid=21129,81,,3532,
82,Famous Funnies - 49,,,Aug,1938,humor|animal|teen|children,https://digitalcomicmuseum.com/index.php?dlid=21252,82,,3533,
83,Famous Funnies - 69,,,Apr,1940,humor|history|scifi,https://digitalcomicmuseum.com/index.php?dlid=22434,83,,3534,
84,Famous Funnies - 92,,,Mar,1942,humor|superhero|animal,https://digitalcomicmuseum.com/index.php?dlid=23794,84,,3535,
85,Famous Funnies - 213,,,Sep,1954,humor|superhero|adventure|scifi,https://digitalcomicmuseum.com/index.php?dlid=20367,85,,3536,
86,Fantastic Comics - the nefarious Nipon,,,Dec,1940,superhero|adventure,https://digitalcomicmuseum.com/index.php?dlid=21092,86,,3537,
87,Ivanhoe,,,Dec,1952,history|non fiction|adventure|romance,https://digitalcomicmuseum.com/index.php?dlid=17065,87,,3538,
88,Dollman - Crime goes to college,,,Dec,1939,superhero|humor,https://digitalcomicmuseum.com/index.php?dlid=9686,88,,3539,
89,Feature Funnies - 2,,,Nov,1937,humor|sports|drama|non fiction,https://digitalcomicmuseum.com/index.php?dlid=19291,89,,3540,
90,Feature Comics - Reynolds of the mounted,,,Oct,1939,humor|detective|mystery,https://digitalcomicmuseum.com/index.php?dlid=23715,90,,3541,
91,Feature Comics - The death room,,,Apr,1940,superhero|humor|drama|detective,https://digitalcomicmuseum.com/index.php?dlid=18641,91,,3542,
92,Feature Comics - Rusty Ryan,,,Feb,1942,humor|superhero|detective|jungle,https://digitalcomicmuseum.com/index.php?dlid=18611,92,,3543,
93,Feature Comics - beyond the head lines,,,Nov,1942,superhero|detective|western|jungle|humor,https://digitalcomicmuseum.com/index.php?dlid=19233,93,,3544,
94,Feature Comics - lala Palooza,,,Feb,1943,superhero|humor|detective,https://digitalcomicmuseum.com/index.php?dlid=17808,94,,3545,
95,Feature Comics - The crooks who hated crime,,,Nov,1943,superhero|humor|adventure,https://digitalcomicmuseum.com/index.php?dlid=17838,95,,3546,
96,Feature Comics - Fear,,,May,1944,humor|detective|mystery|aviation,https://digitalcomicmuseum.com/index.php?dlid=17943,96,,3547,
97,Feature Comics - The magsworth case,,,Nov,1945,humor|detective|mystery|aviation,https://digitalcomicmuseum.com/index.php?dlid=18582,97,,3548,
98,Feature Comics - The Undertaker Returns,,,Jan,1946,humor|detective|fantasy|aviation,https://digitalcomicmuseum.com/index.php?dlid=18587,98,,3549,
99,Feature Comics - Queen of the Ants,,,Oct,1946,superhero|humor|fantasy|children,https://digitalcomicmuseum.com/index.php?dlid=18287,99,,3550,
100,Feature Comics - Mr.Skeleton,,,Jan,1948,superhero|children|humor,https://digitalcomicmuseum.com/index.php?dlid=16981,100,,3551,
101,Feature Comics - College for radicals,,,Apr,1941,superhero|children|humor,https://digitalcomicmuseum.com/index.php?dlid=12810,101,,3552,
102,Feature Comics - Enemy snubs  menace costal areas,,,Sep,1942,superhero|humor|detective|jungle,https://digitalcomicmuseum.com/index.php?dlid=18479,102,,3553,
103,Feature Funnies - 4,,,Jan,1938,humor|non-fiction|sports,https://digitalcomicmuseum.com/index.php?dlid=19034,103,,3554,
104,Feature Comics - Mr.Curio and his minions,,,Jul,1947,superhero|humor|detective,https://digitalcomicmuseum.com/index.php?dlid=1494,104,,3555,
105,Feature Comics - Dishonorables,,,Jul,1942,superhero|humor|western,https://digitalcomicmuseum.com/index.php?dlid=3850,105,,3556,
106,The Fighting Yank - 19,,,Feb,1947,superhero|western,https://digitalcomicmuseum.com/index.php?dlid=21013,106,,3557,
107,Fight Comics - Shark brodie,,,Mar,1940,scifi|adventure|jungle,https://digitalcomicmuseum.com/index.php?dlid=13833,107,,3558,
108,Fight Comics - Blitz of Human Bombs,,,Dec,1941,superhero|war|adventure,https://digitalcomicmuseum.com/index.php?dlid=12036,108,,3559,
109,Fight Comics - Seniorita Rio,,,Oct,1942,war|spy|mystery|adventure|female,https://digitalcomicmuseum.com/index.php?dlid=15971,109,,3560,
110,Fight Comics - War loot for Mikado,,,Aug,1943,war|spy,https://digitalcomicmuseum.com/index.php?dlid=17189,110,,3561,
111,Fight Comics - Charge of the Lost Legion,,,Dec,1943,war|spy|sports,https://digitalcomicmuseum.com/index.php?dlid=19422,111,,3562,
112,Fight comics - Fire Brides of lost Atlantis,,,Apr,1946,adventure|jungle|sports|crime|female,https://digitalcomicmuseum.com/index.php?dlid=14551,112,,3563,
113,Fight Comics - the Fangs of Dr.Voodoo,,,May,1950,jungle|adventure|sports|mystery|female,https://digitalcomicmuseum.com/index.php?dlid=15650,113,,3564,
114,Fight Comics - Tiger Girl,,,Apr,1948,jungle|adventure|spy|mystery|female,https://digitalcomicmuseum.com/index.php?dlid=12405,114,,3565,
115,The Flame - Herr Arson Strikes,,,Aug,1941,superhero|adventure,https://digitalcomicmuseum.com/index.php?dlid=19272,115,,3566,
116,The Flame - Black legion,,,Oct,1941,superhero|adventure,https://digitalcomicmuseum.com/index.php?dlid=13586,116,,3567,
117,The Flame - Deadly Vanilla and a Violin,,,Mar,1955,superhero|adventure,https://digitalcomicmuseum.com/index.php?dlid=14743,117,,3568,
118,Frankenstein and the Thing,,,Nov,1947,humor|children,https://digitalcomicmuseum.com/index.php?dlid=18305,118,,3569,
119,Frankenstein and the Merry Monster,,,May,1948,humor|children,https://digitalcomicmuseum.com/index.php?dlid=15489,119,,3570,
120,Frankenstein and the Balloon maker,,,Aug,1948,humor|children,https://digitalcomicmuseum.com/index.php?dlid=18571,120,,3571,
121,Frankenstein and the Statue maker,,,,1945,humor|children,https://digitalcomicmuseum.com/index.php?dlid=3404,121,,3572,
122,"Frankenstein and Boris Karload, Master of Horror",,,Jan,1948,humor|children,https://digitalcomicmuseum.com/index.php?dlid=23408,122,,3573,
123,Frankenstein and The Girl With the Bewitching Eyes,,,Oct,1948,humor|children,https://digitalcomicmuseum.com/index.php?dlid=18963,123,,3574,
124,Frankenstein and Voice of His Conscience,,,Jan,1949,humor,https://digitalcomicmuseum.com/index.php?dlid=24640,124,,3575,
125,Frisky fables - Smart Daddy,,,Apr,1949,animal|humor|romance,https://digitalcomicmuseum.com/index.php?dlid=22257,125,,3576,
126,Gangster Gun Molls - Evelyn eliis Queen of gangsters,,,Sep,1951,crime|police|female,https://digitalcomicmuseum.com/index.php?dlid=22990,126,,3577,
127,Ghost rider - The hand from the grave,,,,,western|fantasy|superhero,https://digitalcomicmuseum.com/index.php?dlid=13757,127,,3578,
128,Ghost Rider - laughing Boy,,,Aug,1951,western|fantasy|superhero,https://digitalcomicmuseum.com/index.php?dlid=18815,128,,3579,
129,Ghost Rider - The Inn on Skull Mountain,,,Aug,1952,western|fantasy|superhero,https://digitalcomicmuseum.com/index.php?dlid=20950,129,,3580,
130,Ghost Rider - The Vulture Swoops,,,Oct,1952,western|fantasy|superhero,https://digitalcomicmuseum.com/index.php?dlid=18561,130,,3581,
131,Ghost rider - The Ghost Ants of San Pedro,,,Aug,1953,western|fantasy|superhero,https://digitalcomicmuseum.com/index.php?dlid=11929,131,,3582,
132,Glamorous Romances - Romance for Christmas,,,jan,1952,romance,https://digitalcomicmuseum.com/index.php?dlid=2628,132,,3583,
133,Glamorous romances - That First Time We Kissed,,,Oct,1950,romance,https://digitalcomicmuseum.com/index.php?dlid=3219,133,,3584,
134,The Green Hornet - Prisoner of War,,,Jun,1942,superhero|detective|crime,https://digitalcomicmuseum.com/index.php?dlid=18464,134,,3585,
135,The Green Hornet - The Orphanage Racket,,,Nov,1948,superhero|detective|crime,https://digitalcomicmuseum.com/index.php?dlid=21398,135,,3586,
136,Green Mask - banshee of dead mans hill,,,Nov,1944,superhero|crime|detective|animal|humor,https://digitalcomicmuseum.com/index.php?dlid=19535,136,,3587,
137,Green mask - Death weilds a scalpel,,,Feb,1942,superhero|war,https://digitalcomicmuseum.com/index.php?dlid=19292,137,,3588,
138,Junior rangers - Swamp rat killers,,,Aug,1946,teen|crime|detective|mystery|adventure,https://digitalcomicmuseum.com/index.php?dlid=18349,138,,3589,
139,"Hit Comics - Hercules, Betty Bates - The Fifth Column Plotters",,,Feb,1941,superhero|adventure|humor|detective|female,https://digitalcomicmuseum.com/index.php?dlid=21263,139,,3590,
140,"Hit Comics - Keeper, Kid Eternity , The Highness",,,,,superhero|adventure|humor|detective|female|teen,https://digitalcomicmuseum.com/index.php?dlid=21447,140,,3591,
141,Hit Comics - Kid Eternity - Murder Frameup!,,,Apr,1945,detective|crime|teen,https://digitalcomicmuseum.com/index.php?dlid=21468,141,,3592,
142,Hit Comics - Kid Eternity - The Shoe,,,Jan,1947,detective|crime|teen,https://digitalcomicmuseum.com/index.php?dlid=21034,142,,3593,
143,Hit Comics - Kid Eternity - Monsters From the Mirror,,,Nov,1949,detective|crime|teen|humor,https://digitalcomicmuseum.com/index.php?dlid=21690,143,,3594,
144,Hit Comics - Kid Eternity - Mr.Puny,,,Jul,1950,detective|crime|teen|humor|animal,https://digitalcomicmuseum.com/index.php?dlid=21688,144,,3595,
145,Hit Comics - Kid Eternity - battle of steeplechase,,,jan,1949,superhero|humor|adventure|teen,https://digitalcomicmuseum.com/index.php?dlid=14699,145,,3596,
146,Hit Comics - Kid eternity - tales of Invisible,,,Aug,1952,crime|detective|mystery,https://digitalcomicmuseum.com/index.php?dlid=19561,146,,3597,
147,Hit Comics - hercules - Thunder on the seas,,,Sep,1940,superhero|spy|adventure,https://digitalcomicmuseum.com/index.php?dlid=1029,147,,3598,
148,Holyoke One-Shot - Superhero,,,,1944,superhero|non fiction|adventure,https://digitalcomicmuseum.com/index.php?dlid=18258,148,,3599,
149,"Humdinger - Speck, Spot and Sis",,,Aug,1946,children|humor|adventure,https://digitalcomicmuseum.com/index.php?dlid=22597,149,,3600,
150,Jesse james - great Train Robbery,,,Aug,1954,western|adventure,https://digitalcomicmuseum.com/index.php?dlid=17727,158,,3609,
151,Jumbo Comics - Sheena - Stuart Taylor in Weird Stories of the Supernatural,,,Oct,1939,jungle|scifi|humor|adventure|mystery|female,https://digitalcomicmuseum.com/index.php?dlid=8538,159,,3610,
152,Jumbo Comics - Sheena - Pantheras of kajoo kazar,,,Aug,1950,jungle|animal|adventure|female,https://digitalcomicmuseum.com/index.php?dlid=10747,160,,3611,
153,Jumbo Comics - Sheena - Killers of Crypt,,,Mar,1951,jungle|animal|female,https://digitalcomicmuseum.com/index.php?dlid=10347,161,,3612,
154,Jumbo Comics - Sheena - The Ghosts of Blow-gun Trails,,,Jan,1952,jungle|historical|fantasy|animal|female,https://digitalcomicmuseum.com/index.php?dlid=10346,162,,3613,
155,Jumbo Comics - Sheena - Banshee Wail of the Undead,,,Mar,1947,jungle|animal|female,https://digitalcomicmuseum.com/index.php?dlid=10165,163,,3614,
156,Kaanga - ing of the Jungle,,,,1948,jungle|adventure,https://www.coverbrowser.com/covers/jungle-comics/3#i106,164,,3615,
157,Kaanga - Banshee Valley,,,Nov,1948,jungle|animal|non fiction,https://digitalcomicmuseum.com/index.php?dlid=10572,165,,3616,
158,Kaanga - Cavern of the Golden Bones,,,Jan,1949,animal|jungle|adventure,https://digitalcomicmuseum.com/index.php?dlid=10609,166,,3617,
159,Kaanga - Colossus of the Congo,,,Sep,1946,jungle|animal|non fiction,https://digitalcomicmuseum.com/index.php?dlid=10869,167,,0,
160,Kaanga - Witch Queen of the Hairy Ones,,,Sep,1947,jungle|animal|adventure,https://digitalcomicmuseum.com/index.php?dlid=9549,168,,3619,
161,kaanga - Vendetta of the Free Tribes,,,Aug,1947,jungle|animal|adventure,https://digitalcomicmuseum.com/index.php?dlid=8683,169,,3620,
162,JoJo - The Mountain of Skulls,,,Nov,1947,jungle|adventure,https://digitalcomicmuseum.com/index.php?dlid=19113,170,,3621,
163,JoJo - The Copy-Mad Killers,,,Jun,1949,jungle|adventure,https://digitalcomicmuseum.com/index.php?dlid=20951,171,,3622,
164,Jumbo Comics - Sheena - Tigerman terror,,,Apr,1941,jungle|adventure|female|scifi|children,https://digitalcomicmuseum.com/index.php?dlid=13568,172,,3623,
165,Jumbo Comics: Sheena and The Captive Tigress,12,35,Nov,1940,jungle|western|scifi|female,https://digitalcomicmuseum.com/index.php?dlid=22341,173,,3624,
166,Jumbo Comics: Sheena and Cannibal Fury,17,35,Jul,1940,jungle|western|scifi|female,https://digitalcomicmuseum.com/index.php?dlid=17742,174,,3625,
167,Jumbo Comics: Sheena and Satan's Safari,18,,Aug,1940,jungle|spy|western|female,https://digitalcomicmuseum.com/index.php?dlid=17749,175,,3626,
168,Jumbo Comics: Sheena and Spoilers of the Wild,20,35,Oct,1940,jungle|spy|western|scifi|detective|female,https://digitalcomicmuseum.com/index.php?dlid=17828,176,,3627,
169,Jumbo Comics: Sheena and Prey of the Giant Vultures,21,35,Nov,1940,jungle|spy|western|scifi|female,https://digitalcomicmuseum.com/index.php?dlid=20983,177,,3628,
170,Jumbo Comics: Sheena and Bait For the Beast,25,36,Mar,1941,jungle|spy|western|scifi|female,https://digitalcomicmuseum.com/index.php?dlid=17186,178,,3629,
171,Jumbo Comics: Sheena and Saber-Tooth Terror,27,,May,1941,jungle|spy|western|scifi|female,https://digitalcomicmuseum.com/index.php?dlid=14735,179,,3630,
172,Jumbo Comics: Sheena and Land of Giant Men,11,34,Dec,1939,jungle|spy|western|scifi|female,https://digitalcomicmuseum.com/index.php?dlid=485,180,,3631,
173,Jumbo Comics: Sheena and Congo Terror,37,37,Mar,1942,jungle|spy|western|scifi|female,https://digitalcomicmuseum.com/index.php?dlid=16354,181,,3632,
174,Jumbo Comics: Sheena and Fanged Keeper of the Fire-Gem,45,,Nov,1942,jungle|spy|western|female,https://digitalcomicmuseum.com/index.php?dlid=13911,182,,3633,
175,Jumbo Comics: Sheena and Lair of armored Monsters,46,,Dec,1942,jungle|female,https://digitalcomicmuseum.com/index.php?dlid=9274,183,,3634,
176,Jumbo Comics: Sheena and The Arena of Doom,57,38,Nov,1943,jungle|spy|western|female,Jumbo Comics 057 (rescan) -upgrade,184,,3635,
177,Jumbo Comics: Sheena and The Dwarf-Makers,63,39,May,1944,jungle|spy|western|female,https://digitalcomicmuseum.com/index.php?dlid=13978,185,,3636,
178,Jumbo Comics: Sheena and Red Tusks of Zulu-Zaan,83,1,Mar,1946,jungle|female,https://digitalcomicmuseum.com/index.php?dlid=24415,186,,3637,
179,Jumbo Comics: Sheena and Kill-Quest of the Ju-Ju Tusks,88,1,Jun,1946,jungle|adventure|aviation|horror|female,https://digitalcomicmuseum.com/index.php?dlid=16334,187,,3638,
180,Jumbo Comics: Sheena and Pied Piper of the Congo,92,1,Oct,1946,jungle|aviation|female,https://digitalcomicmuseum.com/index.php?dlid=24662,188,,3639,
181,Jumbo Comics: Sheena and Quest of the Two-Face Juju!,101,1,Jul,1947,jungle|horror|female,https://digitalcomicmuseum.com/index.php?dlid=20266,189,,3640,
182,Jumbo Comics: Sheena and Castaways of the Congo,122,1,Apr,1949,jungle|horror|female,https://digitalcomicmuseum.com/index.php?dlid=10434,190,,3641,
183,Jumbo Comics: Sheena and Congo Gaints at Bay,131,1,Jan,1950,jungle|horror|female,https://digitalcomicmuseum.com/index.php?dlid=16284,191,,3642,
184,Jumbo Comics: Sheena and The Doom of Devil's Gorge,132,1,Feb,1950,jungle|horror|female,https://digitalcomicmuseum.com/index.php?dlid=16285,192,,3643,
185,Jumbo Comics: Sheena and The Moon Beasts from Vulture Valley,140,1,Oct,1950,jungle|horror|female,https://digitalcomicmuseum.com/index.php?dlid=17528,193,,3644,
186,Jumbo Comics: Sheena and 	The Secrets of Killer's Cave,144,1,Feb,1951,jungle|horror|female,https://digitalcomicmuseum.com/index.php?dlid=8629,194,,3645,
187,Jumbo Comics: Sheena and Captain Blood of the Congo,150,1,Aug,1951,jungle|horror|female,https://digitalcomicmuseum.com/index.php?dlid=19345,195,,3646,
188,Jumbo Comics: Sheena and Red Blades of Africa,152,1,Oct,1951,jungle|horror|female,https://digitalcomicmuseum.com/index.php?dlid=19346,196,,3647,
